e,,????? ?????? ??? ??? ??? ????? ??? ?????(????? ??? ??)
few,,31500-31549
few,,31551-31599
ee,,31600-31659
few,,31660-31699
ew,,31700-31749
,,31750-31799
ew,,33100-33149
,,33650-33699
,,33700-33749
,,33750-33799
,,33950-33999
,,34000-34059
,,34100-34149
,,34150-34199
,,34200-34249
,,34250-34299
,,34300-34349
,,35150-35199
,,35250-35299
,,35450-35499
,,35500-35549
,,35550-35599
,,35600-35649
,,35650-35699
,,35700-35749
,,35751-35799
,,35800-35849
,,35850-35899
,,36000-36049
,,36100-36149
,,36250-36299
,,36300-36349
,,36500-36549
,,36550-36590
,,36600-36649
,,36650-36699
,,36700-36749
,,36750-36799
,,36800-36852
,,36804-36849
,,36850-36899
,,36900-36949
,,37000-37049
,,37050-37099
,,37100-37149
,,37150-37199
,,37200-37249
,,37250-37299
,,37300-37349
,,37350-37399
,,37400-37449
,,37450-37499
,,37500-37549
,,37550-37599
,,37700-37749
,,37750-37799
,,37801-37849
,,37851-37899
,,37900-37949
,,37950-37999
,,38000-38049
,,38100-38149
,,38150-38198
,,38200-38251
,,38252-98299
,,38300-38333
,,38309-38352
,,38353-38399
,,38400-38450
,,38534-38555
,,38675-38698
,,38700-38721
,,38804-38833
,,38834-38859
,,38900-38950
,,39300-39350
,,39457-39499
,,??????
